#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 170, blocksize: 170, prefetchsize: 17, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,95.65,74,188
6,97.25,157,192
9,95.71,295,406
12,94.0,392,445
15,94.24,488,476
18,94.98,544,482
21,94.61,588,491
24,94.91,680,530
27,94.99,786,552
30,90.16,952,811
33,89.91,1057,824
36,88.38,1302,1020
39,88.06,1456,1111
42,87.77,1567,1158
45,87.1,1756,1231
48,86.94,1804,1240
51,86.99,1932,1291
54,86.46,2024,1393
57,86.15,2110,1525
60,86.25,2183,1630
63,79.86,2375,1812
66,80.96,2504,1900
69,81.25,2638,1998
72,81.75,2728,2055
75,81.62,2889,2096
78,81.8,3072,2182
81,81.86,3160,2228
84,81.24,3304,2334
87,81.28,3411,2422
90,81.15,3571,2508
93,81.14,3866,2757
96,80.32,4368,3159
99,75.46,5015,4675
102,74.05,5301,6165
