#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 140, blocksize: 140, prefetchsize: 14, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,100.0,2,231
6,100.0,2,231
9,100.0,2,231
12,100.0,2,231
15,100.0,2,231
18,100.0,2,231
21,100.0,2,231
24,100.0,2,231
27,100.0,2,231
30,100.0,2,231
33,100.0,2,231
36,100.0,2,231
39,100.0,2,231
42,100.0,2,231
45,100.0,2,231
48,100.0,2,231
51,100.0,2,231
54,100.0,2,231
57,100.0,2,231
60,100.0,2,231
63,100.0,2,231
66,100.0,2,231
69,100.0,2,231
72,100.0,2,231
75,100.0,2,231
78,100.0,2,231
81,100.0,2,231
84,100.0,2,231
87,100.0,2,231
90,100.0,2,231
93,100.0,2,231
96,62.67,43,245
99,79.48,244,332
102,82.73,487,485
105,85.39,673,614
108,88.02,1171,752
111,84.82,1387,864
114,84.31,1531,1150
117,84.87,1719,1235
120,85.19,1958,1335
123,85.18,2198,1483
126,85.71,2325,1519
129,85.77,2442,1568
132,85.85,2513,1625
135,85.84,2556,1649
138,86.1,2658,1779
141,86.79,2814,2062
144,86.95,2916,2228
147,87.42,3090,2424
150,88.05,3325,2708
153,88.45,3490,2827
156,88.44,3571,2877
159,88.42,3684,2938
162,88.33,3757,3020
165,88.49,3924,3210
168,88.51,3988,3297
171,88.61,4135,3572
174,88.67,4178,3638
177,88.73,4249,3692
180,88.78,4301,3752
183,88.79,4304,3755
