#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 3874, total_files_alive: 1373, cacheTableSize: 0, cachesize: 140, blocksize: 70, prefetchsize: 14, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,100.0,2,231
6,100.0,2,231
9,100.0,2,231
12,100.0,2,231
15,100.0,2,231
18,100.0,2,231
21,100.0,2,231
24,100.0,2,231
27,100.0,2,231
30,100.0,2,231
33,100.0,2,231
36,100.0,2,231
39,100.0,2,231
42,100.0,2,231
45,100.0,2,231
48,100.0,2,231
51,100.0,2,231
54,100.0,2,231
57,100.0,2,231
60,100.0,2,231
63,100.0,2,231
66,100.0,2,231
69,100.0,2,231
72,100.0,2,231
75,100.0,2,231
78,100.0,2,231
81,100.0,2,231
84,100.0,2,231
87,100.0,2,231
90,100.0,2,231
93,100.0,2,231
96,62.67,43,245
99,79.48,244,332
102,82.73,487,485
105,85.39,673,614
108,88.02,1171,752
111,84.73,1387,864
114,84.23,1531,1150
117,84.8,1719,1235
120,85.13,1958,1335
123,85.12,2198,1483
126,85.66,2325,1519
129,85.72,2442,1568
132,85.8,2513,1625
135,85.79,2556,1649
138,86.05,2658,1779
141,86.75,2814,2062
144,86.91,2916,2228
147,87.39,3090,2424
150,88.01,3325,2708
153,88.42,3490,2827
156,88.41,3571,2877
159,88.39,3684,2938
162,88.29,3757,3020
165,88.46,3924,3210
168,88.48,3988,3297
171,88.58,4135,3572
174,88.64,4178,3638
177,88.7,4249,3692
180,88.75,4301,3752
183,88.76,4304,3755
