#number of hit, misses and time stayed in Cache for every file
#project: 1, total_files: 6232, total_files_alive: 1678, cacheTableSize: 5178, cachesize: 170, blocksize: 170, prefetchsize: 17, cache replacement policy: LRU
file_id,loc,last_type,duration
10456,272,1,0
10455,539,3,0
10449,162,3,0
10447,53,1,0
10446,53,1,0
10444,53,1,0
10442,53,1,0
10440,53,1,0
10438,43,1,0
10437,53,1,0
10435,53,1,0
10433,53,1,0
10431,53,1,0
10429,53,1,0
10427,93,1,0
10426,53,1,0
10420,134,1,0
10418,131,1,0
10415,135,1,0
10412,131,1,0
10409,131,1,0
10405,131,1,0
10402,131,1,0
10399,131,1,0
10396,131,1,0
10393,115,1,0
10390,131,1,0
10388,-1,1,0
10387,-1,1,0
10385,-1,1,0
10384,-1,1,0
10383,-1,1,0
10372,49,3,0
10369,-1,1,0
10367,-1,1,0
10367,-1,1,0
10366,700,1,0
10365,-1,1,0
10364,-1,3,0
10364,-1,1,0
10364,-1,1,0
10363,-1,1,0
10363,-1,1,0
10361,113,1,0
10357,-1,1,0
10357,-1,1,0
10353,105,1,377
10292,-1,3,987
10292,-1,1,0
10292,-1,1,0
10292,-1,1,0
10292,-1,1,0
10272,108,3,0
10272,108,1,0
10272,108,1,0
10271,-1,1,0
10270,-1,1,0
10270,-1,1,0
10262,-1,1,0
10261,-1,3,0
10261,-1,1,0
10261,-1,1,0
10261,-1,1,0
10261,-1,1,0
10261,-1,1,0
10260,-1,1,0
10253,-1,1,0
10249,33,3,9
10245,-1,3,24
10244,-1,1,0
10227,-1,3,0
10227,-1,2,0
10227,-1,2,0
10227,-1,2,0
10227,-1,2,0
10227,-1,2,0
10227,-1,1,0
10227,-1,1,0
10227,-1,1,0
10224,65,1,0
10224,65,1,0
10219,-1,1,0
10218,136,1,0
10218,136,1,0
10212,-1,1,0
10211,-1,3,0
10208,225,1,0
10208,225,1,0
10208,225,1,0
10207,78,1,0
10207,78,1,0
10201,-1,1,0
10200,143,3,0
10200,143,1,0
10200,143,1,0
10200,143,1,0
10198,285,3,0
10198,285,1,0
10198,285,1,0
10196,-1,1,0
10194,-1,3,0
10194,-1,2,0
10194,-1,2,0
10193,104,1,0
10193,104,1,0
10193,104,1,0
10192,-1,1,0
10191,-1,1,0
10190,46,3,0
10163,36,2,0
10161,283,2,0
10160,48,2,0
10159,31,2,0
10158,33,2,0
10157,99,2,0
10156,71,2,0
10155,202,2,0
10154,55,2,0
10153,144,2,0
10152,112,2,0
10151,126,2,0
10150,85,2,0
10149,36,2,0
10148,92,2,0
10147,174,2,0
10146,49,2,0
10145,55,2,0
10144,49,2,0
10143,201,2,0
10142,109,2,0
10141,51,2,0
10141,51,2,0
10140,241,2,0
10137,416,2,0
10137,416,2,0
10136,154,2,0
10135,58,2,0
10135,58,2,0
10134,103,2,0
10133,79,2,0
10132,166,2,0
10131,95,2,0
10130,104,2,0
10129,144,2,0
10128,136,2,0
10127,173,2,0
10124,48,2,0
10123,40,2,0
10121,110,2,0
10120,223,3,0
10119,242,3,0
10118,77,2,0
10117,124,2,0
10116,219,2,0
10115,815,2,0
10113,187,2,0
10113,187,2,0
10112,162,3,0
10111,42,2,0
10110,45,2,0
10109,105,2,0
10106,44,2,0
10105,249,2,0
10105,249,2,0
10103,700,3,0
10101,558,2,0
10101,558,2,0
10082,141,2,0
10082,141,2,0
10081,131,2,0
10081,131,2,0
10080,44,2,0
10079,77,2,0
10079,77,2,0
10078,68,2,0
10078,68,2,0
10077,58,2,0
10077,58,2,0
10075,141,2,0
10075,141,2,0
10074,837,2,0
10073,399,2,0
10072,154,2,0
10067,214,2,0
10067,214,2,0
10065,113,2,0
10060,97,2,0
10057,538,2,0
10056,68,2,0
10055,273,2,0
10054,210,2,0
10053,66,2,0
10052,180,2,0
10051,66,2,0
10050,92,2,0
10049,53,2,0
10048,53,2,0
10045,55,2,0
10045,55,2,0
10044,57,2,0
10044,57,2,0
10042,53,2,0
10040,53,2,0
10038,58,2,0
10038,58,2,0
10037,53,2,0
10035,43,2,0
10034,59,2,0
10034,59,2,0
10033,48,2,0
10033,48,2,0
10032,53,2,0
10030,44,2,0
10029,52,2,0
10027,53,2,0
10025,89,2,0
10024,67,2,0
10023,50,2,0
10021,53,2,0
10019,53,2,0
10017,53,2,0
10015,93,2,0
10014,53,2,0
10012,131,2,0
10012,131,2,0
10011,92,2,0
10011,92,2,0
9965,134,3,0
9964,131,2,0
9960,600,2,0
9960,600,2,0
9958,135,3,0
9955,131,3,0
9952,131,3,0
9950,409,2,0
9947,131,3,0
9939,131,3,0
9932,132,3,0
9930,712,2,0
9928,131,3,0
9925,131,3,0
9922,115,2,0
9918,131,2,0
9910,-1,1,0
9910,-1,1,0
9910,-1,2,0
9909,-1,1,0
9906,87,1,0
9902,397,1,0
9901,83,1,0
9900,141,1,0
9899,227,1,0
9896,-1,1,0
9895,-1,1,0
9895,-1,1,0
9895,-1,1,0
9895,-1,1,0
9894,-1,1,0
9894,-1,1,0
9893,-1,1,0
9893,-1,1,0
9893,-1,1,0
9893,-1,1,0
9892,-1,1,0
9892,-1,1,0
9892,-1,1,0
9892,-1,1,0
9892,-1,1,0
9887,122,1,0
9886,105,1,0
9885,-1,1,0
9881,-1,1,0
9880,-1,2,0
9880,-1,1,0
9880,-1,1,0
9879,140,1,0
9878,123,1,0
9865,-1,1,0
9864,-1,1,0
9862,566,1,0
9862,566,1,0
9861,64,1,0
9861,64,1,0
9858,-1,1,0
9858,-1,1,0
9855,-1,1,0
9855,-1,1,0
9854,-1,1,0
9850,-1,1,0
9842,-1,1,0
9842,-1,1,0
9842,-1,1,0
9841,-1,1,0
9841,-1,1,0
9841,-1,1,0
9838,-1,1,0
9837,650,1,0
9837,650,1,0
9837,650,1,0
9837,650,1,0
9837,650,1,0
9837,650,1,0
9837,650,1,0
9836,-1,1,0
9836,-1,1,0
9834,-1,1,0
9834,-1,1,0
9834,-1,1,0
9833,177,1,0
9832,-1,1,0
9832,-1,1,0
9832,-1,1,0
9831,-1,1,0
9831,-1,1,0
9831,-1,1,0
9830,75,1,0
9829,-1,1,0
9829,-1,1,0
