#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 90252, total_files_alive: 76205, cacheTableSize: 0, cachesize: 7620, blocksize: 3810, prefetchsize: 762, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,100.0,558,750
6,100.0,1026,1202
9,100.0,1200,1320
12,100.0,1584,1544
15,100.0,2139,1796
18,100.0,2680,2104
21,100.0,3488,2552
24,100.0,4396,4561
27,99.98,5320,5164
30,99.99,6014,5850
33,99.99,6724,6347
36,99.98,7402,6955
39,99.97,8156,7453
42,99.97,8769,7873
45,99.97,9335,14643
48,99.97,9888,21951
51,99.95,10631,29926
54,99.94,11555,30452
57,99.59,12602,62738
60,99.59,13628,63360
63,99.54,14475,63773
66,99.29,15541,64586
69,98.99,16595,65327
72,98.78,17467,75762
75,98.5,18440,76867
78,97.98,19744,78284
81,97.47,20712,79279
84,97.17,21602,80255
87,96.99,22381,80969
90,96.71,23413,82654
93,96.48,24800,83667
96,96.23,26205,84929
99,96.07,27367,85608
102,95.96,28457,86336
105,95.73,29935,87447
108,95.56,31524,88433
111,95.42,32917,89952
114,95.42,32922,89958
